timestamp,machine_id,machine_type,barrel_temperature_celsius,mold_temperature_celsius,injection_pressure_bar,holding_pressure_bar,injection_speed_mm_per_s,cooling_time_s,cycle_time_s,material_viscosity_pa_s,mold_clamping_force_tons,operation_time_hours,parts_produced,mold_wear_percent,status,time_since_maintenance,hour_of_day,day_of_week
2025-03-06T22:19:01.478727,INJ-MOLD-78f8c6,INJECTION_MOLDING,215.86,42.2,1173.36,768.75,86.51,15.5,35.79,322.51,237.91,0.12,12,-3.91,NORMAL,0.12,22,3
2025-03-06T22:19:01.478727,INJ-MOLD-0b44f3,INJECTION_MOLDING,242.47,60.71,1200.0,800.0,85.0,15.0,35.0,320.0,230.0,0.08,8,0.0,NORMAL,0.08,22,3
2025-03-06T22:19:01.478727,INJ-MOLD-8dc0cd,INJECTION_MOLDING,222.38,48.67,1237.64,835.75,89.04,14.77,33.96,320.47,223.42,0.09,8,-4.08,NORMAL,0.09,22,3
2025-03-06T22:19:01.478727,INJ-MOLD-d8eee5,INJECTION_MOLDING,218.99,41.72,1222.76,848.39,82.61,13.02,35.0,327.55,234.28,0.12,12,-0.96,NORMAL,0.12,22,3
2025-03-06T22:19:01.478727,INJ-MOLD-aaa028,INJECTION_MOLDING,219.26,47.07,1230.03,824.87,86.56,15.27,37.76,323.68,225.89,0.13,13,-0.01,NORMAL,0.13,22,3
2025-03-06T22:19:01.478727,INJ-MOLD-6caf79,INJECTION_MOLDING,218.45,48.56,1150.57,805.34,88.97,16.68,37.57,337.19,222.36,0.07,6,3.68,NORMAL,0.07,22,3
2025-03-06T23:19:01.478727,INJ-MOLD-78f8c6,INJECTION_MOLDING,217.99,45.82,1181.42,773.45,83.61,15.42,33.31,320.54,221.3,0.18,18,-2.69,NORMAL,0.18,23,3
2025-03-06T23:19:01.478727,INJ-MOLD-0b44f3,INJECTION_MOLDING,217.54,44.47,1235.32,825.93,88.41,14.34,34.19,339.49,222.55,0.18,18,-2.77,NORMAL,0.18,23,3
2025-03-06T23:19:01.478727,INJ-MOLD-8dc0cd,INJECTION_MOLDING,215.66,40.2,1172.69,767.86,85.96,16.12,37.01,326.04,238.01,0.22,22,-3.86,NORMAL,0.22,23,3
2025-03-06T23:19:01.478727,INJ-MOLD-d8eee5,INJECTION_MOLDING,217.91,44.92,1170.62,758.37,87.36,16.46,36.16,337.12,223.41,0.19,19,-4.5,NORMAL,0.19,23,3
2025-03-06T23:19:01.478727,INJ-MOLD-aaa028,INJECTION_MOLDING,222.78,48.36,1186.63,825.9,88.85,15.11,36.8,329.3,233.02,0.26,24,-2.28,NORMAL,0.26,23,3
2025-03-06T23:19:01.478727,INJ-MOLD-6caf79,INJECTION_MOLDING,216.27,48.61,1214.39,779.06,86.53,15.81,32.59,337.9,239.44,0.15,14,-1.04,NORMAL,0.15,23,3
2025-03-07T00:19:01.478727,INJ-MOLD-78f8c6,INJECTION_MOLDING,222.79,48.64,1173.19,784.11,84.58,15.38,36.17,307.96,235.65,0.28,28,-2.61,NORMAL,0.28,0,4
2025-03-07T00:19:01.478727,INJ-MOLD-0b44f3,INJECTION_MOLDING,223.02,40.12,1208.56,767.84,88.52,14.18,33.53,309.93,235.79,0.3,30,2.54,NORMAL,0.3,0,4
2025-03-07T00:19:01.478727,INJ-MOLD-8dc0cd,INJECTION_MOLDING,218.2,49.93,1222.28,801.89,84.68,15.19,32.61,328.9,232.03,0.3,29,-0.82,NORMAL,0.3,0,4
2025-03-07T00:19:01.478727,INJ-MOLD-d8eee5,INJECTION_MOLDING,224.79,40.93,1188.93,786.34,80.25,15.92,36.55,331.66,236.73,0.3,29,4.44,NORMAL,0.3,0,4
2025-03-07T00:19:01.478727,INJ-MOLD-aaa028,INJECTION_MOLDING,222.58,44.81,1229.3,838.62,84.0,14.81,34.33,302.37,238.7,0.36,33,3.21,NORMAL,0.36,0,4
2025-03-07T00:19:01.478727,INJ-MOLD-6caf79,INJECTION_MOLDING,223.31,41.54,1152.45,821.39,87.73,16.97,35.25,308.55,236.93,0.21,20,0.78,NORMAL,0.21,0,4
2025-03-07T01:19:01.478727,INJ-MOLD-78f8c6,INJECTION_MOLDING,219.73,49.43,1162.46,813.84,89.35,16.81,37.73,333.61,232.21,0.41,40,-4.49,NORMAL,0.41,1,4
